"killer_x","killer_y","killer_z","victim_x","victim_y","victim_z","killer_side","victim_side","match_checksum"
-985.836975,-656.372864,-263.96875,-617.359192,-845.298828,-261.315674,3,2,"472ac3e23ebc878b"
-642.608582,-855.588196,-256.170959,-1017.603088,-594.863892,-287.96875,2,3,"472ac3e23ebc878b"
-849.763977,284.262543,-167.930054,-2312.014404,220.493439,-167.96875,3,2,"472ac3e23ebc878b"
-136.889832,-2173.034424,-167.96875,-349.888672,-1576.424316,-167.96875,3,2,"472ac3e23ebc878b"
101.111,-1967.72229,-39.96875,72.2379,-2364.942139,-39.96875,3,2,"472ac3e23ebc878b"
-78.400635,-1494.748901,-167.96875,108.362137,-2001.564453,-39.96875,2,3,"472ac3e23ebc878b"
-1111.942871,-2491.235107,-167.96875,161.910904,-1618.355957,-169.333008,3,2,"472ac3e23ebc878b"
-928.40741,-1373.377563,-167.96875,-547.586975,-1921.391235,-179.96875,2,3,"472ac3e23ebc878b"
-910.607605,-2508.602295,-35.96875,248.163696,-1569.325562,-175.96875,3,2,"472ac3e23ebc878b"
-1013.048584,-1306.316162,-158.512329,-339.718018,-2117.598389,-100.96875,2,3,"472ac3e23ebc878b"
-353.763977,-2135.198486,-100.96875,-1010.271851,-1320.264404,-159.71936,3,2,"472ac3e23ebc878b"
-1035.849976,-520.596436,-287.96875,-699.877075,-686.040833,-268.429077,3,2,"472ac3e23ebc878b"
176.715698,-647.36261,-164.151489,-811.286133,-670.530823,-265.764404,2,3,"472ac3e23ebc878b"
-775.196289,283.222076,-164.915771,-905.764648,-265.173218,-167.738098,3,2,"472ac3e23ebc878b"
-2310.819336,117.735245,-167.96875,-1664.903687,817.109863,-47.96875,3,2,"472ac3e23ebc878b"
-2028.906494,765.766235,-47.96875,-2145.11499,-41.995911,-129.109375,2,3,"472ac3e23ebc878b"
-1080.789551,251.259949,-169.89563,-2190.250977,605.242798,-147.981262,3,2,"472ac3e23ebc878b"
-788.530273,-90.621704,-167.352112,-891.185547,291.211212,-167.924133,2,3,"472ac3e23ebc878b"
-487.973083,-2154.580078,-179.96875,-808.779785,-45.445007,-167.987305,3,2,"472ac3e23ebc878b"
-421.592896,-1854.430054,-175.418213,-412.248047,-1820.328979,-173.071899,2,3,"45959b056841cf0b"
-416.208496,-1976.112305,-179.96875,-430.261658,-1934.418945,-179.743774,3,2,"45959b056841cf0b"
-243.618042,-2180.823486,-170.100647,-275.619507,-2183.878418,-171.251404,3,2,"45959b056841cf0b"
-232.869995,-1639.89917,-167.96875,-187.274414,-1645.206787,-167.96875,2,3,"45959b056841cf0b"
-479.923645,-1932.963013,-179.96875,-414.178528,-1952.373047,-179.112183,2,3,"45959b056841cf0b"
-479.316589,-1979.897827,-179.96875,-462.423523,-2019.063232,-179.96875,2,3,"45959b056841cf0b"
-263.103638,-1979.128174,-167.96875,-215.840271,-1983.659302,-167.96875,2,3,"45959b056841cf0b"
-244.094482,-1622.606812,-167.96875,-264.029297,-1504.029053,-163.971069,2,3,"45959b056841cf0b"
-642.547485,-1154.445679,-167.96875,-698.508301,-1022.786804,-215.96875,2,3,"45959b056841cf0b"
-467.145935,-2052.739258,-179.96875,-794.617859,-2398.998291,-172.669312,2,3,"45959b056841cf0b"
-797.953918,-1544.861206,-167.96875,-694.981567,-2437.014404,-167.96875,2,3,"45959b056841cf0b"
-933.117615,-2343.740234,-167.96875,-259.808228,-1919.8927,-167.96875,3,2,"45959b056841cf0b"
-1055.16394,-2413.466797,-167.96875,-198.799622,-1933.934326,-167.96875,3,2,"45959b056841cf0b"
-851.640625,-2385.785156,-168.187866,83.683342,-1635.539551,-167.96875,3,2,"45959b056841cf0b"
